Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Link
EUTELSAT-KA-16E,France 🇫🇷,16.0°E,Non-Planned,Late-Stage,Yes,No,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT-KA-16E&sel_satname=EUTELSAT-KA-16E&plan_id=
F-SAT-KU2-E-16E,France 🇫🇷,16.0°E,Non-Planned,Late-Stage,Yes,No,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-KU2-E-16E&sel_satname=F-SAT-KU2-E-16E&plan_id=
F-SAT-N-E-16E,France 🇫🇷,16.0°E,Non-Planned,Late-Stage,Yes,No,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N-E-16E&sel_satname=F-SAT-N-E-16E&plan_id=
F-SAT-N3-16E,France 🇫🇷,16.0°E,Non-Planned,Late-Stage,Yes,No,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N3-16E&sel_satname=F-SAT-N3-16E&plan_id=
F-SAT-N9-16E,France 🇫🇷,16.0°E,Non-Planned,Early-Stage,No,n/a,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N9-16E&sel_satname=F-SAT-N9-16E&plan_id=
F-SAT-N7-16E,France 🇫🇷,16.0°E,Non-Planned,Early-Stage,No,n/a,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-16E&sel_satname=F-SAT-N7-16E&plan_id=
F-SAT-P-30B-16E-F,France 🇫🇷,16.0°E,Planned,Early-Stage,No,n/a,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-16E-F&sel_satname=F-SAT-P-30B-16E-F&plan_id=plan
F-SAT-E-30B-16E,France 🇫🇷,16.0°E,Planned,Late-Stage,Yes,No,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-E-30B-16E&sel_satname=F-SAT-E-30B-16E&plan_id=plan
F-SAT-30B-16E,France 🇫🇷,16.0°E,Planned,Early-Stage,No,n/a,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-16E&sel_satname=F-SAT-30B-16E&plan_id=plan
EUTELSAT EXB-16E,France 🇫🇷,16.0°E,Planned,Late-Stage,Yes,No,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-16E&sel_satname=EUTELSAT+EXB-16E&plan_id=plan
EUTELSAT-B1-16E,France 🇫🇷,16.0°E,Non-Planned,Late-Stage,Yes,No,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT-B1-16E&sel_satname=EUTELSAT-B1-16E&plan_id=
EUTELSAT 3-16E,France 🇫🇷,16.0°E,Non-Planned,Late-Stage,Yes,No,No,0.51°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+3-16E&sel_satname=EUTELSAT+3-16E&plan_id=
GHA00000,Ghana 🇬🇭,15.9°E,Planned,Early-Stage,No,n/a,No,0.61°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GHA00000&sel_satname=GHA00000&plan_id=plan
UK-KA-17.5E,United Kingdom 🇬🇧,17.5°E,Non-Planned,Early-Stage,No,n/a,No,0.99°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-17.5E&sel_satname=UK-KA-17.5E&plan_id=
UK-KA-17.5E-VB,United Kingdom 🇬🇧,17.5°E,Non-Planned,Early-Stage,No,n/a,No,0.99°,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-17.5E-VB&sel_satname=UK-KA-17.5E-VB&plan_id=
